index ;year;month;day;t_min;t_mean;t_max;date
32583;1907;1;1;-12.4;-9.6;-6.9;01.01.1907
32583;1907;1;2;-13.8;-12.0;-8.9;02.01.1907
32583;1907;1;3;-17.4;-15.6;-13.8;03.01.1907
32583;1907;1;4;-18.4;-14.3;-11.8;04.01.1907
32583;1907;1;5;-16.9;-13.7;-12.5;05.01.1907
32583;1907;1;6;-16.4;-15.1;-13.2;06.01.1907
32583;1907;1;7;-18.9;-15.0;-12.0;07.01.1907
32583;1907;1;8;-17.0;-10.3;-2.5;08.01.1907
32583;1907;1;9;-10.5;-8.6;-0.8;09.01.1907
32583;1907;1;10;-11.5;-9.4;-5.3;10.01.1907
32583;1907;1;11;-15.0;-13.5;-10.8;11.01.1907
32583;1907;1;12;-18.9;-15.5;-12.8;12.01.1907
32583;1907;1;13;-16.4;-14.0;-11.4;13.01.1907
32583;1907;1;14;-15.5;-12.4;-10.6;14.01.1907
32583;1907;1;15;-11.6;-8.5;-7.1;15.01.1907
32583;1907;1;16;-9.5;-6.6;-3.9;16.01.1907
32583;1907;1;17;-4.5;-3.1;-1.0;17.01.1907
32583;1907;1;18;-10.4;-9.1;-3.9;18.01.1907
32583;1907;1;19;-13.4;-10.7;-8.3;19.01.1907
32583;1907;1;20;-15.4;-13.0;-10.0;20.01.1907
32583;1907;1;21;-18.0;-16.6;-14.4;21.01.1907
32583;1907;1;22;-20.4;-18.0;-15.3;22.01.1907
32583;1907;1;23;-20.4;-17.7;-14.6;23.01.1907
32583;1907;1;24;-21.1;-18.6;-15.8;24.01.1907
32583;1907;1;25;-19.9;-14.4;-11.0;25.01.1907
32583;1907;1;26;-17.2;-5.6;-3.6;26.01.1907
32583;1907;1;27;-7.5;-4.7;-3.0;27.01.1907
32583;1907;1;28;-7.6;-5.0;-2.7;28.01.1907
32583;1907;1;29;-4.7;-4.4;-2.6;29.01.1907
32583;1907;1;30;-8.5;-5.5;-3.0;30.01.1907
32583;1907;1;31;-9.8;-7.8;-4.4;31.01.1907
32583;1907;2;1;-13.6;-9.8;-7.3;01.02.1907
32583;1907;2;2;-9.6;-1.7;-0.5;02.02.1907
32583;1907;2;3;-2.1;-0.7;0.0;03.02.1907
32583;1907;2;4;-1.2;-0.9;-0.2;04.02.1907
32583;1907;2;5;-1.7;-1.7;-1.0;05.02.1907
32583;1907;2;6;-2.0;-0.9;-0.2;06.02.1907
32583;1907;2;7;-2.1;-1.6;-0.4;07.02.1907
32583;1907;2;8;-2.0;-1.5;-0.6;08.02.1907
32583;1907;2;9;-2.6;-1.5;-1.2;09.02.1907
32583;1907;2;10;-1.9;-1.1;0.0;10.02.1907
32583;1907;2;11;-2.1;-2.0;-0.5;11.02.1907
32583;1907;2;12;-7.4;-6.6;-2.5;12.02.1907
32583;1907;2;13;-13.1;-9.9;-6.5;13.02.1907
32583;1907;2;14;-13.8;-10.0;-7.4;14.02.1907
32583;1907;2;15;-10.6;-6.7;-4.9;15.02.1907
32583;1907;2;16;-6.1;-5.0;-3.9;16.02.1907
32583;1907;2;17;-6.8;-5.4;-3.9;17.02.1907
32583;1907;2;18;-12.6;-9.5;-4.7;18.02.1907
32583;1907;2;19;-11.6;-10.6;-9.1;19.02.1907
32583;1907;2;20;-12.8;-11.1;-8.5;20.02.1907
32583;1907;2;21;-17.6;-14.3;-11.3;21.02.1907
32583;1907;2;22;-19.1;-15.6;-11.4;22.02.1907
32583;1907;2;23;-19.1;-14.6;-9.4;23.02.1907
32583;1907;2;24;-17.6;-11.2;-8.0;24.02.1907
32583;1907;2;25;-13.9;-12.3;-9.3;25.02.1907
32583;1907;2;26;-14.1;-11.9;-9.5;26.02.1907
32583;1907;2;27;-17.5;-15.8;-12.6;27.02.1907
32583;1907;2;28;-21.6;-17.8;-13.4;28.02.1907
32583;1907;3;1;-20.6;-14.9;-9.0;01.03.1907
